plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,,,,,
1_WT_7.5_m,1,M,6,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,7,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,8,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,9,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,10,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,11,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,12,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,13,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,14,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,15,WT,7.5,4,9/25/2021 11:29:00,1.635,,,,,,,,,,
1_WT_7.5_m,1,M,16,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,17,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,18,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,19,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,20,WT,7.5,4,9/25/2021 11:29:00,1.447,,,,,,,,,,
1_KO_controla_m,1,M,1,KO,0,4,9/25/2021 11:29:00,2.445,,,,,,,,,,
1_KO_controla_m,1,M,2,KO,0,4,9/25/2021 11:29:00,1.855,,,,,,,,,,
1_KO_controla_m,1,M,3,KO,0,4,9/25/2021 11:29:00,2.745,,,,,,,,,,
1_KO_controla_m,1,M,4,KO,0,4,9/25/2021 11:29:00,1.747,,,,,,,,,,
1_KO_controla_m,1,M,5,KO,0,4,9/25/2021 11:29:00,1.714,,,,,,,,,,
1_KO_controla_m,1,M,6,KO,0,4,9/25/2021 11:29:00,2.272,,,,,,,,,,
1_KO_controla_m,1,M,7,KO,0,4,9/25/2021 11:29:00,2.873,,,,,,,,,,
1_KO_controla_m,1,M,8,KO,0,4,9/25/2021 11:29:00,0.767,,,,,,,,,,
1_KO_controla_m,1,M,9,KO,0,4,9/25/2021 11:29:00,2.342,,,,,,,,,,
1_KO_controla_m,1,M,10,KO,0,4,9/25/2021 11:29:00,1.698,,,,,,,,,,
1_KO_controla_m,1,M,11,KO,0,4,9/25/2021 11:29:00,2.787,,,,,,,,,,
1_KO_controla_m,1,M,12,KO,0,4,9/25/2021 11:29:00,2.016,,,,,,,,,,
1_KO_controla_m,1,M,13,KO,0,4,9/25/2021 11:29:00,1.453,,,,,,,,,,
1_KO_controla_m,1,M,14,KO,0,4,9/25/2021 11:29:00,2.983,,,,,,,,,,
1_KO_controla_m,1,M,15,KO,0,4,9/25/2021 11:29:00,3.317,,,,,,,,,,
1_KO_controla_m,1,M,16,KO,0,4,9/25/2021 11:29:00,2.211,,,,,,,,,,
1_KO_controla_m,1,M,17,KO,0,4,9/25/2021 11:29:00,1.995,,,,,,,,,,
1_KO_controla_m,1,M,18,KO,0,4,9/25/2021 11:29:00,3.284,,,,,,,,,,
1_KO_controla_m,1,M,19,KO,0,4,9/25/2021 11:29:00,3.413,,,,,,,,,,
1_KO_controla_m,1,M,20,KO,0,4,9/25/2021 11:29:00,2.032,,,,,,,,,,
1_KO_controla_m,1,M,21,KO,0,4,9/25/2021 11:29:00,1.663,,,,,,,,,,
1_KO_controla_m,1,M,22,KO,0,4,9/25/2021 11:29:00,2.444,,,,,,,,,,
1_KO_controla_m,1,M,23,KO,0,4,9/25/2021 11:29:00,1.666,,,,,,,,,,
1_KO_controla_m,1,M,24,KO,0,4,9/25/2021 11:29:00,2.893,,,,,,,,,,
1_KO_controla_m,,M,25,KO,0,4,9/25/2021 11:29:00,1.529,,,,,,,,,,
1_KO_7.5_m,1,M,1,KO,7.5,4,9/25/2021 11:30:00,1.466,,,,,,,,,,
1_KO_7.5_m,1,M,2,KO,7.5,4,9/25/2021 11:30:00,1.377,,,,,,,,,,
1_KO_7.5_m,1,M,3,KO,7.5,4,9/25/2021 11:30:00,1.541,,,,,,,,,,
